 age,eq5d_r,sex,productivity_cost
53,0.85,men,48115.44228
53,0.9,men,49475.80197
53,0.95,men,50752.89266
53,1,men,51947.82137
54,0,men,16267.8932
54,0.05,men,18002.10816
54,0.1,men,19816.00296
54,0.15,men,21698.0384
54,0.2,men,23635.21989
54,0.25,men,25613.47679
54,0.3,men,27618.08825
54,0.35,men,29634.12809
54,0.4,men,31646.90044
54,0.45,men,33642.34043
54,0.5,men,35607.35867
54,0.55,men,37530.11494
54,0.6,men,39400.21337
54,0.65,men,41208.81821
54,0.7,men,42948.69532
54,0.75,men,44614.18835
54,0.8,men,46201.14177
54,0.85,men,47706.78377
54,0.9,men,49129.58193
54,0.95,men,50469.08344
54,1,men,51725.74989
55,0,men,15714.99415
55,0.05,men,17426.82365
55,0.1,men,19224.70625
55,0.15,men,21098.1365
55,0.2,men,23034.99311
55,0.25,men,25021.87054
55,0.3,men,27044.469
55,0.35,men,29088.01831
55,0.4,men,31137.7091
55,0.45,men,33179.10506
55,0.5,men,35198.51335
55,0.55,men,37183.29531
55,0.6,men,39122.10599
55,0.65,men,41005.05762
55,0.7,men,42823.80812
55,0.75,men,44571.58093
55,0.8,men,46243.12572
55,0.85,men,47834.63194
55,0.9,men,49343.60736
55,0.95,men,50768.73383
55,1,men,52109.7107
56,0,men,15335.2197
56,0.05,men,17042.14998
56,0.1,men,18842.47045
56,0.15,men,20726.7182
56,0.2,men,22683.6577
56,0.25,men,24700.5614
56,0.3,men,26763.55922
56,0.35,men,28858.03594
56,0.4,men,30969.05221
56,0.45,men,33081.76347
56,0.5,men,35181.81256
56,0.55,men,37255.67571
56,0.6,men,39290.94671
56,0.65,men,41276.55016
56,0.7,men,43202.88118
56,0.75,men,45061.87387
56,0.8,men,46847.00571
56,0.85,men,48553.24751
56,0.9,men,50176.97059
56,0.95,men,51715.82283
56,1,men,53168.58473
57,0,men,14638.7659
57,0.05,men,16303.35867
57,0.1,men,18066.53347
57,0.15,men,19920.17194
57,0.2,men,21854.29294
57,0.25,men,23857.27151
57,0.3,men,25916.13281
57,0.35,men,28016.90499
57,0.4,men,30145.01014
57,0.45,men,32285.66986
57,0.5,men,34424.30173
57,0.55,men,36546.88506
57,0.6,men,38640.27805
57,0.65,men,40692.47394
57,0.7,men,42692.78905
57,0.75,men,44631.98151
57,0.8,men,46502.30404
57,0.85,men,48297.49785
57,0.9,men,50012.73722
57,0.95,men,51644.53554
57,1,men,53190.62373
58,0,men,14132.78815
58,0.05,men,15773.78677
58,0.1,men,17519.39702
58,0.15,men,19362.82081
58,0.2,men,21295.32014
58,0.25,men,23306.37468
58,0.3,men,25383.9183
58,0.35,men,27514.6432
58,0.4,men,29684.35489
58,0.45,men,31878.35744
58,0.5,men,34081.84659
58,0.55,men,36280.28879
58,0.6,men,38459.76648
58,0.65,men,40607.27409
58,0.7,men,42710.95396
58,0.75,men,44760.26682
58,0.8,men,46746.09642
58,0.85,men,48660.79226
58,0.9,men,50498.15728
58,0.95,men,52253.38996
58,1,men,53922.99073
59,0,men,13578.23663
59,0.05,men,15187.06667
59,0.1,men,16905.67884
59,0.15,men,18728.68456
59,0.2,men,20648.72421
59,0.25,men,22656.56235
59,0.3,men,24741.2622
59,0.35,men,26890.43282
59,0.4,men,29090.53676
59,0.45,men,31327.24153
59,0.5,men,33585.79484
59,0.55,men,35851.40279
59,0.6,men,38109.59073
59,0.65,men,40346.52917
59,0.7,men,42549.31077
59,0.75,men,44706.16953
59,0.8,men,46806.63756
59,0.85,men,48841.63978
59,0.9,men,50803.53054
59,0.95,men,52686.07885
59,1,men,54484.41091
60,0,men,11560.5755
60,0.05,men,12957.15124
60,0.1,men,14455.17047
60,0.15,men,16051.12938
60,0.2,men,17739.78354
60,0.25,men,19514.17923
60,0.3,men,21365.75242
60,0.35,men,23284.49367
60,0.4,men,25259.17222
60,0.45,men,27277.60812
60,0.5,men,29326.978
60,0.55,men,31394.13764
60,0.6,men,33465.944
60,0.65,men,35529.56039
60,0.7,men,37572.7305
60,0.75,men,39584.01041
60,0.8,men,41552.95155
60,0.85,men,43470.23123
60,0.9,men,45327.73138
60,0.95,men,47118.56865
60,1,men,48837.08178
61,0,men,11016.16694
61,0.05,men,12371.67161
61,0.1,men,13831.41631
61,0.15,men,15393.18488
61,0.2,men,17053.07329
61,0.25,men,18805.47211
61,0.3,men,20643.11129
61,0.35,men,22557.16878
61,0.4,men,24537.44022
61,0.45,men,26572.56254
61,0.5,men,28650.28073
61,0.55,men,30757.74368
61,0.6,men,32881.81355
61,0.65,men,35009.37286
61,0.7,men,37127.61405
61,0.75,men,39224.29909
61,0.8,men,41287.97905
61,0.85,men,43308.16756
61,0.9,men,45275.4651
61,0.95,men,47181.63486
61,1,men,49019.63296
62,0,men,10455.08223
62,0.05,men,11763.96347
62,0.1,men,13178.84636
62,0.15,men,14698.75864
62,0.2,men,16321.12804
62,0.25,men,18041.72272
62,0.3,men,19854.64653
62,0.35,men,21752.39339
62,0.4,men,23725.96129
62,0.45,men,25765.02265
62,0.5,men,27858.1438
62,0.55,men,29993.04318
62,0.6,men,32156.87513
62,0.65,men,34336.52489
62,0.7,men,36518.9003
62,0.75,men,38691.2066
62,0.8,men,40841.19272
62,0.85,men,42957.36031
62,0.9,men,45029.12975
62,0.95,men,47046.96049
62,1,men,49002.42606
63,0,men,10134.81103
63,0.05,men,11424.16356
63,0.1,men,12822.92605
63,0.15,men,14331.29413
63,0.2,men,15947.94216
63,0.25,men,17669.92743
63,0.3,men,19492.64173
63,0.35,men,21409.81641
63,0.4,men,23413.58441
63,0.45,men,25494.59902
63,0.5,men,27642.20575
63,0.55,men,29844.66012
63,0.6,men,32089.38122
63,0.65,men,34363.2287
63,0.7,men,36652.7897
63,0.75,men,38944.66221
63,0.8,men,41225.72213
63,0.85,men,43483.36343
