"year","sex","age","qimd","pops"
2002,1,27,3,65951
2002,1,27,4,56807
2002,1,27,5,49201
2002,1,28,1,74306
2002,1,28,2,77949
2002,1,28,3,68894
2002,1,28,4,59437
2002,1,28,5,51511
2002,1,29,1,77629
2002,1,29,2,82725
2002,1,29,3,72934
2002,1,29,4,63754
2002,1,29,5,55741
2002,1,30,1,80333
2002,1,30,2,83036
2002,1,30,3,74666
2002,1,30,4,68029
2002,1,30,5,60833
2002,1,31,1,81725
2002,1,31,2,84658
2002,1,31,3,76448
2002,1,31,4,70278
2002,1,31,5,63994
2002,1,32,1,80380
2002,1,32,2,83149
2002,1,32,3,76263
2002,1,32,4,70239
2002,1,32,5,64881
2002,1,33,1,80965
2002,1,33,2,83810
2002,1,33,3,77472
2002,1,33,4,72335
2002,1,33,5,69012
2002,1,34,1,80482
2002,1,34,2,83257
2002,1,34,3,77845
2002,1,34,4,74233
2002,1,34,5,71192
2002,1,35,1,80432
2002,1,35,2,83663
2002,1,35,3,80321
2002,1,35,4,77448
2002,1,35,5,75979
2002,1,36,1,78529
2002,1,36,2,82000
2002,1,36,3,79182
2002,1,36,4,78594
2002,1,36,5,78394
2002,1,37,1,76366
2002,1,37,2,80730
2002,1,37,3,79688
2002,1,37,4,79849
2002,1,37,5,80437
2002,1,38,1,74591
2002,1,38,2,78833
2002,1,38,3,78683
2002,1,38,4,79079
2002,1,38,5,81494
2002,1,39,1,72215
2002,1,39,2,76489
2002,1,39,3,77225
2002,1,39,4,78399
2002,1,39,5,81631
2002,1,40,1,70313
2002,1,40,2,73730
2002,1,40,3,74902
2002,1,40,4,77009
2002,1,40,5,80967
2002,1,41,1,67397
2002,1,41,2,71358
2002,1,41,3,72863
2002,1,41,4,76077
2002,1,41,5,79518
2002,1,42,1,65129
2002,1,42,2,68057
2002,1,42,3,70348
2002,1,42,4,73466
2002,1,42,5,77245
2002,1,43,1,62412
2002,1,43,2,66425
2002,1,43,3,68981
2002,1,43,4,72490
2002,1,43,5,76635
2002,1,44,1,61125
2002,1,44,2,64768
2002,1,44,3,68512
2002,1,44,4,71994
2002,1,44,5,75833
2002,1,45,1,58780
2002,1,45,2,61249
2002,1,45,3,65101
2002,1,45,4,69538
2002,1,45,5,72813
2002,1,46,1,55825
2002,1,46,2,59517
2002,1,46,3,63021
2002,1,46,4,66710
2002,1,46,5,70792
2002,1,47,1,53428
2002,1,47,2,57321
2002,1,47,3,61665
2002,1,47,4,65749
2002,1,47,5,68958
2002,1,48,1,53276
2002,1,48,2,57332
2002,1,48,3,62705
2002,1,48,4,65854
2002,1,48,5,69900
2002,1,49,1,52756
